gene_symbol	Adipocytes	Alveolar cells type 1	Alveolar cells type 2	Astrocytes	B-cells	Basal keratinocytes	Basal prostatic cells	Basal respiratory cells	Basal squamous epithelial cells	Bipolar cells	Breast glandular cells	Breast myoepithelial cells	Cardiomyocytes	Cholangiocytes	Ciliated cells	Club cells	Collecting duct cells	Cone photoreceptor cells	Cytotrophoblasts	Distal enterocytes	Distal tubular cells	Ductal cells	Early spermatids	Endometrial stromal cells	Endothelial cells	Enteroendocrine cells	Erythroid cells	Excitatory neurons	Exocrine glandular cells	Extravillous trophoblasts	Fibroblasts	Gastric mucus-secreting cells	Glandular and luminal cells	Granulosa cells	Hepatocytes	Hofbauer cells	Horizontal cells	Inhibitory neurons	Intestinal goblet cells	Ionocytes	Kupffer cells	Langerhans cells	Late spermatids	Leydig cells	Lymphatic endothelial cells	Macrophages	Melanocytes	Mesothelial cells	Microglial cells	Mucus glandular cells	Muller glia cells	NK-cells	Oligodendrocyte precursor cells	Oligodendrocytes	Oocytes	Ovarian stromal cells	Pancreatic endocrine cells	Paneth cells	Peritubular cells	Plasma cells	Prostatic glandular cells	Proximal enterocytes	Proximal tubular cells	Rod photoreceptor cells	Salivary duct cells	Schwann cells	Secretory cells	Serous glandular cells	Sertoli cells	Skeletal myocytes	Smooth muscle cells	Spermatocytes	Spermatogonia	Squamous epithelial cells	Suprabasal keratinocytes	Syncytiotrophoblasts	T-cells	Undifferentiated cells	dendritic cells	granulocytes	monocytes	ActiveCount	ActivePercent	SpecificityLabel
A1BG	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	62	76.5432098765432	Broad
A1CF	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	29	35.80246913580247	Broad
A2M	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	74	91.35802469135804	Broad
A2ML1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	43	53.086419753086425	Broad
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4.938271604938271	Cell-Specific
A4GALT	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	72	88.88888888888889	Broad
A4GNT	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7.4074074074074066	Cell-Specific
AAAS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AACS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AADAC	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	42	51.85185185185185	Broad
AADACL2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	10	12.34567901234568	Moderately Specific
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2.469135802469136	Cell-Specific
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	4.938271604938271	Cell-Specific
AADAT	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	71	87.65432098765432	Broad
AAGAB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AAK1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AAMDC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AAMP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AANAT	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	27	33.33333333333333	Broad
AAR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AARD	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	49	60.49382716049383	Broad
AARS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AARS2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	78	96.29629629629628	Broad
AARSD1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	75	92.5925925925926	Broad
AASDH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AASDHPPT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AASS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	80	98.76543209876544	Broad
AATF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
AATK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	79	97.53086419753086	Broad
ABAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	79	97.53086419753086	Broad
ABCA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	79	97.53086419753086	Broad
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	72	88.88888888888889	Broad
ABCA12	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	38	46.913580246913575	Broad
ABCA13	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	46	56.79012345679012	Broad
ABCA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	79	97.53086419753086	Broad
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	73	90.12345679012346	Broad
ABCA4	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	47	58.0246913580247	Broad
ABCA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81	100.0	Broad
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	74	91.35802469135804	Broad
ABCA7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	76	93.82716049382717	Broad
ABCA8	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	59	72.8395061728395	Broad
ABCA9	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	65	80.24691358024691	Broad
ABCB1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	69	85.18518518518519	Broad
